x,calculate(x)
-0.390000,-1.903297
-0.380000,-1.875641
-0.370000,-1.848311
-0.360000,-1.821299
-0.350000,-1.794597
-0.340000,-1.768195
-0.330000,-1.742085
-0.320000,-1.716258
-0.310000,-1.690707
-0.300000,-1.665424
-0.290000,-1.640401
-0.280000,-1.615631
-0.270000,-1.591107
-0.260000,-1.566821
-0.250000,-1.542768
-0.240000,-1.518940
-0.230000,-1.495332
-0.220000,-1.471936
-0.210000,-1.448746
-0.200000,-1.425758
-0.190000,-1.402964
-0.180000,-1.380359
-0.170000,-1.357938
-0.160000,-1.335695
-0.150000,-1.313625
-0.140000,-1.291723
-0.130000,-1.269983
-0.120000,-1.248400
-0.110000,-1.226970
-0.100000,-1.205688
-0.090000,-1.184549
-0.080000,-1.163551
-0.070000,-1.142684
-0.060000,-1.121947
-0.050000,-1.101335
-0.040000,-1.080843
-0.030000,-1.060468
-0.020000,-1.040205
-0.010000,-1.020051
-0.000000,-1.000000
0.010000,17.868611
0.020000,13.597554
0.030000,11.368521
0.040000,9.908316
0.050000,8.845721
0.060000,8.023139
0.070000,7.359473
0.080000,6.808611
0.090000,6.340821
0.100000,5.936879
0.110000,5.583370
0.120000,5.270249
0.130000,4.990658
0.140000,4.739077
0.150000,4.510558
0.160000,4.302367
0.170000,4.111744
0.180000,3.935850
0.190000,3.773139
0.200000,3.622390
0.210000,3.481988
0.220000,3.350841
0.230000,3.228011
0.240000,3.112688
0.250000,3.004168
0.260000,2.901837
0.270000,2.805152
0.280000,2.713892
0.290000,2.627149
0.300000,2.544779
0.310000,2.466695
0.320000,2.392130
0.330000,2.321261
0.340000,2.253419
0.350000,2.188800
0.360000,2.126796
0.370000,2.067633
0.380000,2.010734
0.390000,1.956367
0.400000,1.904164
0.410000,1.853838
0.420000,1.805636
0.430000,1.759057
0.440000,1.714427
0.450000,1.671418
0.460000,1.629948
0.470000,1.589785
0.480000,1.551200
0.490000,1.513932
0.500000,1.477747
0.510000,1.442967
0.520000,1.409323
0.530000,1.376766
0.540000,1.345248
0.550000,1.314586
0.560000,1.285042
0.570000,1.256405
0.580000,1.228638
0.590000,1.201550
0.600000,1.175451
0.610000,1.150117
0.620000,1.125519
0.630000,1.101630
0.640000,1.078423
0.650000,1.055740
0.660000,1.033849
0.670000,1.012563
0.680000,0.991863
0.690000,0.971726
0.700000,0.952135
0.710000,0.932938
0.720000,0.914408
0.730000,0.896366
0.740000,0.878796
0.750000,0.861683
0.760000,0.845012
0.770000,0.828770
0.780000,0.812943
0.790000,0.797420
0.800000,0.782409
0.810000,0.767771
0.820000,0.753497
0.830000,0.739576
0.840000,0.725999
0.850000,0.712754
0.860000,0.699728
0.870000,0.687151
0.880000,0.674874
0.890000,0.662889
0.900000,0.651189
0.910000,0.639768
0.920000,0.628618
0.930000,0.617732
0.940000,0.607032
0.950000,0.596686
0.960000,0.586574
0.970000,0.576692
0.980000,0.567037
0.990000,0.557559
1.000000,NaN
1.010000,0.539439
1.020000,0.530609
1.030000,0.522031
1.040000,0.513657
1.050000,0.505483
1.060000,0.497505
1.070000,0.489719
1.080000,0.482011
1.090000,0.474558
1.100000,0.467278
1.110000,0.460167
1.120000,0.453222
1.130000,0.446439
1.140000,0.439815
1.150000,0.433345
1.160000,0.427028
1.170000,0.420779
1.180000,0.414739
1.190000,0.408839
1.200000,0.403077
1.210000,0.397449
1.220000,0.391953
1.230000,0.386585
1.240000,0.381344
1.250000,0.376226
1.260000,0.371228
1.270000,0.366349
1.280000,0.361525
1.290000,0.356868
1.300000,0.352321
1.310000,0.347882
1.320000,0.343550
1.330000,0.339322
1.340000,0.335196
1.350000,0.331170
1.360000,0.327241
1.370000,0.323409
1.380000,0.319671
1.390000,0.316026
1.400000,0.312471
1.410000,0.308956
1.420000,0.305573
1.430000,0.302275
1.440000,0.299061
1.450000,0.295928
1.460000,0.292877
1.470000,0.289904
1.480000,0.287010
1.490000,0.284191
1.500000,0.281447
1.510000,0.278777
1.520000,0.276179
1.530000,0.273651
1.540000,0.271193
1.550000,0.268767
1.560000,0.266442
1.570000,0.264183
1.580000,0.261989
1.590000,0.259858
1.600000,0.257789
1.610000,0.255782
1.620000,0.253836
1.630000,0.251948
1.640000,0.250119
1.650000,0.248347
1.660000,0.246631
1.670000,0.244971
1.680000,0.243365
1.690000,0.241812
1.700000,0.240286
1.710000,0.238837
1.720000,0.237438
1.730000,0.236090
1.740000,0.234790
1.750000,0.233539
1.760000,0.232336
1.770000,0.231179
1.780000,0.230069
1.790000,0.229004
1.800000,0.227983
1.810000,0.227007
1.820000,0.226073
1.830000,0.225182
1.840000,0.224333
1.850000,0.223510
1.860000,0.222742
1.870000,0.222015
1.880000,0.221326
1.890000,0.220676
1.900000,0.220065
1.910000,0.219491
1.920000,0.218953
1.930000,0.218453
1.940000,0.217988
1.950000,0.217558
1.960000,0.217163
1.970000,0.216802
1.980000,0.216475
1.990000,0.216181
2.000000,0.215920
2.010000,0.215686
2.020000,0.215489
2.030000,0.215324
2.040000,0.215189
2.050000,0.215085
2.060000,0.215010
2.070000,0.214965
2.080000,0.214949
2.090000,0.214962
2.100000,0.215003
2.110000,0.215072
2.120000,0.215169
2.130000,0.215292
2.140000,0.215442
2.150000,0.215618
2.160000,0.215820
2.170000,0.216053
2.180000,0.216307
2.190000,0.216586
2.200000,0.216889
2.210000,0.217216
2.220000,0.217567
2.230000,0.217942
2.240000,0.218339
2.250000,0.218760
2.260000,0.219203
2.270000,0.219668
2.280000,0.220156
2.290000,0.220665
2.300000,0.221195
2.310000,0.221746
2.320000,0.222318
2.330000,0.222910
2.340000,0.223538
2.350000,0.224171
2.360000,0.224825
2.370000,0.225497
2.380000,0.226189
2.390000,0.226900
2.400000,0.227629
2.410000,0.228377
2.420000,0.229143
2.430000,0.229927
2.440000,0.230728
2.450000,0.231547
2.460000,0.232383
2.470000,0.233237
2.480000,0.234106
2.490000,0.234993
2.500000,0.235918
2.510000,0.236839
2.520000,0.237775
2.530000,0.238726
2.540000,0.239694
2.550000,0.240676
2.560000,0.241674
2.570000,0.242687
2.580000,0.243714
2.590000,0.244756
2.600000,0.245812
2.610000,0.246883
2.620000,0.247967
2.630000,0.249066
2.640000,0.250177
2.650000,0.251303
2.660000,0.252441
2.670000,0.253624
2.680000,0.254790
2.690000,0.255969
2.700000,0.257161
2.710000,0.258365
2.720000,0.259582
2.730000,0.260810
2.740000,0.262051
2.750000,0.263304
2.760000,0.264568
2.770000,0.265844
2.780000,0.267131
2.790000,0.268430
2.800000,0.269740
2.810000,0.271061
2.820000,0.272392
2.830000,0.273735
2.840000,0.275088
2.850000,0.276491
2.860000,0.277867
2.870000,0.279253
2.880000,0.280649
2.890000,0.282054
2.900000,0.283470
2.910000,0.284896
2.920000,0.286331
2.930000,0.287776
2.940000,0.289230
2.950000,0.290693
2.960000,0.292166
2.970000,0.293647
2.980000,0.295138
2.990000,0.296637
3.000000,0.298145
3.010000,0.299662
3.020000,0.301234
3.030000,0.302769
3.040000,0.304313
3.050000,0.305865
3.060000,0.307425
3.070000,0.308993
3.080000,0.310569
3.090000,0.312153
3.100000,0.313745
3.110000,0.315344
3.120000,0.316951
3.130000,0.318565
3.140000,0.320187
3.150000,0.321816
3.160000,0.323452
3.170000,0.325095
3.180000,0.326746
3.190000,0.328403
3.200000,0.330121
3.210000,0.331794
3.220000,0.333473
3.230000,0.335159
3.240000,0.336852
3.250000,0.338551
3.260000,0.340256
3.270000,0.341968
3.280000,0.343686
3.290000,0.345411
3.300000,0.347141
3.310000,0.348877
3.320000,0.350620
3.330000,0.352368
3.340000,0.354122
3.350000,0.355882
3.360000,0.357647
3.370000,0.359418
3.380000,0.361255
3.390000,0.363039
3.400000,0.364828
3.410000,0.366623
3.420000,0.368423
3.430000,0.370228
3.440000,0.372038
3.450000,0.373854
3.460000,0.375674
3.470000,0.377500
3.480000,0.379330
3.490000,0.381165
3.500000,0.383005
3.510000,0.384850
3.520000,0.386699
3.530000,0.388553
3.540000,0.390412
3.550000,0.392275
3.560000,0.394210
3.570000,0.396084
3.580000,0.397962
3.590000,0.399844
3.600000,0.401731
3.610000,0.403622
3.620000,0.405517
3.630000,0.407417
3.640000,0.409320
3.650000,0.411227
3.660000,0.413139
3.670000,0.415054
3.680000,0.416973
3.690000,0.418896
3.700000,0.420823
3.710000,0.422754
3.720000,0.424688
3.730000,0.426626
3.740000,0.428567
3.750000,0.430586
3.760000,0.432536
3.770000,0.434490
3.780000,0.436447
3.790000,0.438408
3.800000,0.440372
3.810000,0.442339
3.820000,0.444309
3.830000,0.446283
3.840000,0.448260
3.850000,0.450240
3.860000,0.452223
3.870000,0.454210
3.880000,0.456199
3.890000,0.458191
3.900000,0.460186
3.910000,0.462185
3.920000,0.464186
3.930000,0.466189
3.940000,0.468277
3.950000,0.470288
3.960000,0.472302
3.970000,0.474319
3.980000,0.476338
3.990000,0.478360
4.000000,0.480385
4.010000,0.482412
4.020000,0.484442
4.030000,0.486474
4.040000,0.488509
4.050000,0.490546
4.060000,0.492586
4.070000,0.494628
4.080000,0.496672
4.090000,0.498719
4.100000,0.500768
4.110000,0.502819
4.120000,0.504958
4.130000,0.507016
4.140000,0.509075
4.150000,0.511137
4.160000,0.513201
4.170000,0.515267
4.180000,0.517335
4.190000,0.519405
4.200000,0.521477
4.210000,0.523552
4.220000,0.525628
4.230000,0.527706
4.240000,0.529786
4.250000,0.531867
4.260000,0.533951
4.270000,0.536037
4.280000,0.538124
4.290000,0.540213
4.300000,0.542304
4.310000,0.544487
4.320000,0.546583
4.330000,0.548681
4.340000,0.550780
4.350000,0.552881
4.360000,0.554984
4.370000,0.557088
4.380000,0.559194
4.390000,0.561302
4.400000,0.563411
4.410000,0.565521
4.420000,0.567633
4.430000,0.569746
4.440000,0.571861
4.450000,0.573977
4.460000,0.576095
4.470000,0.578214
4.480000,0.580334
4.490000,0.582456
4.500000,0.584675
4.510000,0.586801
4.520000,0.588928
4.530000,0.591057
4.540000,0.593186
4.550000,0.595317
4.560000,0.597450
4.570000,0.599583
4.580000,0.601718
4.590000,0.603853
4.600000,0.605990
4.610000,0.608128
4.620000,0.610267
4.630000,0.612407
4.640000,0.614548
4.650000,0.616691
4.660000,0.618834
4.670000,0.620978
4.680000,0.623123
4.690000,0.625269
4.700000,0.627519
